scenario_name,target_airspeed_mps,trim_altitude_m,altitude_step_m,airspeed_step_mps,heading_step_deg,sim_end_time_s,final_altitude_command_m,final_airspeed_command_mps,final_heading_command_deg,final_x_m,final_y_m,final_altitude_m,final_airspeed_mps,final_heading_deg,final_roll_deg,final_pitch_deg,final_altitude_error_m,final_airspeed_error_mps,final_heading_error_deg,final_roll_error_deg,final_pitch_error_deg,max_abs_altitude_error_after_command_m,max_abs_airspeed_error_after_command_mps,max_abs_heading_error_after_command_deg,max_abs_roll_error_after_command_deg,max_abs_pitch_error_after_command_deg,altitude_settling_time_s,airspeed_settling_time_s,heading_settling_time_s,max_abs_roll_deg,max_abs_pitch_deg,max_abs_heading_deg,max_abs_alpha_deg,max_abs_beta_deg,max_abs_p_deg_s,max_abs_q_deg_s,max_abs_r_deg_s,max_abs_elevator_deg,max_abs_aileron_deg,max_abs_rudder_deg,max_throttle,min_throttle,gain_set,base_scenario,score
aggressive_longitudinal_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1433.6778530295824,404.9033921692389,99.99894978931775,24.999757896396847,19.995743449829394,0.0018530808280728256,5.067463280511178,0.001050210682251418,0.000242103603152799,0.0042565501706025985,-0.00036328826836191615,7.150071117484921e-05,0.1291572589800012,0.026739102513165136,19.999832716932392,6.999454296557169,0.10107698628746214,0.0016672224074687492,0.0016672224074687492,16.027009003000998,5.417876350146653,5.096493508126587,19.995743449829394,5.094730670670117,0.2062445862606422,5.291110192383336,0.19949920964925807,2.138500748336589,6.556983644994351,5.448626699781267,0.16890785877398773,0.13731181396179926,0.13500467176421316,aggressive_longitudinal,heading_step,43.33417307983479
final_tuned_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1433.6818454731795,404.90106862805834,99.99788114399514,24.999658180618695,19.995743376967702,0.0018531228654854936,5.067723658035431,0.0021188560048557292,0.000341819381304731,0.004256623032301352,-0.00036330480418002043,0.0001188518614640024,0.13953269660919432,0.02655121099852309,19.999832749830524,6.999454403708649,0.0995313917970236,0.0016672224074687492,0.0016672224074687492,16.027009003000998,5.4178539277257665,5.09422677358711,19.995743376967702,5.093837118766748,0.20624420866050863,5.291110224045632,0.19659309732198746,2.1385002421587362,6.556238459935888,5.4486742029457504,0.16890782597507345,0.13735364349225443,0.13475137260267966,final_tuned,heading_step,43.342187517037736
lateral_tuned_heading_step,25.0,100.0,0.0,0.0,20.0,60.0,100.0,25.0,20.0,1433.6884343093047,404.8972629429534,99.99471360495376,24.999459804910796,19.99574326553342,0.0018531882825876022,5.0683280940910755,0.005286395046240955,0.0005401950892043317,0.004256734466571394,-0.0003633312192876143,0.00023974663867945537,0.1586379328610832,0.026765864533093264,19.999832828340022,6.99945465926036,0.10226236878353696,0.0016672224074687492,0.0016672224074687492,16.047015671890627,5.417797504129335,5.0920736884012,19.99574326553342,5.092497501204373,0.20624376787089396,5.2911104417586765,0.1931212726524739,2.138499090180419,6.5551364948034365,5.448788185440757,0.16890775225436155,0.1374026780668822,0.1343337856195905,lateral_tuned,heading_step,43.36551310589562
original_baseline_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1483.5157601745439,0.0,119.227547452749,24.955925978558096,0.0,0.0,5.202701321528762,0.7724525472510066,0.04407402144190442,0.0,0.0,0.01925602648669308,19.99999945600149,0.8216014627061554,0.0,0.0,4.010606552798127,50.69856618872957,14.00633544514838,0.0016672224074687492,0.0,8.47290251222027,0.0,6.511704777353305,0.0,0.0,6.507790501834908,0.0,10.499697918000553,0.0,0.0,0.23533488895230753,0.13674271341550004,original_baseline,altitude_step,44.62783284275358
aggressive_longitudinal_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1628.0301570714219,0.0,105.79749874920269,27.641019190468807,0.0,0.0,3.3244161672275663,-5.797498749202688,0.35898080953119305,0.0,0.0,-0.9147404476162564,5.797498749202688,2.998804214008615,0.0,0.0,0.9147404476162564,,22.12904301433811,0.0016672224074687492,0.0,5.232360222510819,0.0,5.067053488488841,0.0,0.0,0.16860950506875944,0.0,6.530111496790264,0.0,0.0,0.3316649873381289,0.13674271341130867,aggressive_longitudinal,airspeed_step,47.12657370865783
lateral_tuned_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1477.6611264279927,0.0,119.65913746761849,24.96520851840337,0.0,0.0,5.149227835392433,0.3408625323815073,0.03479148159663126,0.0,0.0,0.01547548721038799,19.99999922356244,1.2866766706115662,0.0,0.0,5.729437991489359,40.575191730576854,18.80793597865955,0.0016672224074687492,0.0,9.796982152369235,0.0,6.997987666781462,0.0,0.0,8.670715654968015,0.0,12.192640284706004,0.0,0.0,0.2525436137826098,0.13674271341686034,lateral_tuned,altitude_step,48.69120111273725
final_tuned_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1630.1610127863808,0.0,107.6200996995465,27.681281089013694,0.0,0.0,3.3043329393019145,-7.6200996995465005,0.31871891098630556,0.0,0.0,-1.0751766288410896,7.6200996995465005,2.998599129653133,0.0,0.0,1.0751766288410896,,21.148716238746246,0.0016672224074687492,0.0,5.3299546460114335,0.0,5.067053517617894,0.0,0.0,0.16486274018387495,0.0,6.530111299032189,0.0,0.0,0.36163764815155386,0.13674271341573702,final_tuned,airspeed_step,48.74904270048134
lateral_tuned_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1632.0038664002714,0.0,110.95535621755994,27.72299952370779,0.0,0.0,3.2911731306276457,-10.955356217559938,0.2770004762922085,0.0,0.0,-1.362598102165783,10.955356217559938,2.998298994450071,0.0,0.0,1.362598102165783,,21.06868956318773,0.0016672224074687492,0.0,5.524762399287404,0.0,5.0670534276658294,0.0,0.0,0.24963790587601067,0.0,6.530111256826717,0.0,0.0,0.40658962292807527,0.13674271341686034,lateral_tuned,airspeed_step,52.025677578926675
final_tuned_altitude_step,25.0,100.0,20.0,0.0,0.0,60.0,120.0,25.0,0.0,1472.9138780828166,0.0,119.8509689318349,24.97598213902095,0.0,0.0,5.114192004611429,0.14903106816510103,0.024017860979050454,0.0,0.0,0.008363928437597467,19.99999873947941,1.7473654844237387,0.0,0.0,7.4482239491496465,33.61287095698566,20.48849616538846,0.0016672224074687492,0.0,11.226351853235885,0.0,7.652600917397211,0.0,0.0,12.076775674425845,0.0,15.704665452943763,0.0,0.0,0.2677951247593493,0.13674271341573702,final_tuned,altitude_step,53.323754435108285
original_baseline_airspeed_step,25.0,100.0,0.0,3.0,0.0,60.0,100.0,28.0,0.0,1635.9222102398667,0.0,115.73949198577225,27.773312968801257,0.0,0.0,3.296519167260892,-15.739491985772247,0.22668703119874323,0.0,0.0,-1.3857883857826454,15.739491985772247,2.997767104333814,0.0,0.0,1.3857883857826454,,19.26808936312104,0.0016672224074687492,0.0,5.683748478593988,0.0,5.067053408889644,0.0,0.0,0.33138371850861,0.0,6.530111245886918,0.0,0.0,0.4964747659476266,0.13674271341550004,original_baseline,airspeed_step,56.34166906857392
