gain_set,mean_score,max_score,mean_abs_final_altitude_error_m,mean_abs_final_airspeed_error_mps,mean_abs_final_heading_error_deg,max_abs_aileron_deg_across_scenarios,max_abs_rudder_deg_across_scenarios,max_abs_beta_deg_across_scenarios
lateral_tuned,77.97737784900589,160.7271602150951,4.495775597182066,0.11982796340983555,0.0010322908226014964,5.834481740883415,0.2963637646438925,0.3415504931143876
final_tuned,81.13717412094272,170.72758166259558,3.0940521803103507,0.13369579225004244,0.00102382539720993,5.8348100451742315,0.29617843765487795,0.33565993236210134
aggressive_longitudinal,84.60362522176986,180.34627627870293,2.342496639364003,0.14828488424780914,0.0010157357764499278,5.8350269053113735,0.300768558638649,0.33026952391584596
original_baseline,89.03820090713734,182.1865910086813,6.580987145892436,0.10210104051590889,2.8012037670515e-07,25.0,7.935417829685999,3.547735350783752
